label,in_pkt,in_size,out_pkt,out_size,cumul_1,cumul_2,cumul_3,cumul_4,cumul_5,cumul_6,cumul_7,cumul_8,cumul_9,cumul_10,cumul_11,cumul_12,cumul_13,cumul_14,cumul_15,cumul_16,cumul_17,cumul_18,cumul_19,cumul_20,cumul_21,cumul_22,cumul_23,cumul_24,cumul_25,cumul_26,cumul_27,cumul_28,cumul_29,cumul_30,pkg_count,chunk_count,total_size,chunk_1,chunk_2,chunk_3,chunk_4,chunk_5,chunk_6,chunk_7,chunk_8,chunk_9,chunk_10,chunk_11,chunk_12,chunk_13,chunk_14,chunk_15,chunk_16,chunk_17,chunk_18,chunk_19,chunk_20,chunk_21,chunk_22,chunk_23,chunk_24,chunk_25
Agario,26,10867,29,15848,1.806451612903224,-1291.0,-2257.5806451612902,-2032.0967741935483,-2048.870967741936,-3177.1612903225805,-2221.806451612903,-3017.3548387096766,-3979.1935483870952,-4047.129032258065,-3246.096774193548,-2770.6774193548363,-3960.516129032258,-5061.709677419355,-3999.6129032258063,-3249.3870967741937,-4559.290322580645,-5661.483870967742,-4639.838709677418,-3978.612903225807,-4625.3548387096735,-5616.516129032259,-5897.645161290324,-5059.258064516132,-4405.354838709677,-5699.032258064516,-6805.225806451613,-5737.677419354839,-4953.451612903225,-4990.225806451613,20,3,4064,206,2288,1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agario,29,10956,26,18987,-1544.0,-2451.387096774193,-2606.774193548388,-2542.0,-3046.354838709676,-3659.161290322582,-2997.870967741934,-4352.83870967742,-5476.709677419352,-4915.483870967744,-3865.6129032258063,-4587.677419354835,-5395.612903225807,-6746.967741935484,-5660.290322580645,-4961.483870967743,-6178.774193548385,-6434.387096774194,-7786.741935483871,-6717.387096774193,-5947.806451612903,-7511.806451612903,-7508.419354838708,-8817.516129032258,-8049.483870967741,-6999.903225806452,-8547.58064516129,-9042.806451612898,-9655.032258064515,-8942.064516129036,23,3,4090,205,1515,2364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanda_Todd,20,4057,21,4844,-448.7741935483871,-163.74193548387103,-103.61290322580643,-522.0967741935484,-220.54838709677443,-216.35483870967732,-604.4193548387098,-247.1290322580648,-290.2258064516128,-647.741935483871,-248.5161290322584,-346.2258064516128,-673.0645161290322,-206.22580645161412,-360.0322580645152,-655.3870967741935,-175.64516129032256,-374.6129032258063,-639.7096774193549,-169.9354838709677,-397.999999999999,-632.0322580645162,-329.22580645161287,-586.5161290322578,-789.3548387096776,-534.516129032258,-821.1612903225796,-992.6774193548388,-752.8064516129032,-779.9032258064515,20,4,3657,720,1269,458,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanda_Todd,110,47446,104,77318,-4748.774193548387,-5272.129032258064,-41.1935483870968,1075.741935483871,-1338.3225806451612,-7710.096774193548,-5161.838709677422,-9260.09677419355,-10550.645161290322,-8360.645161290322,-3244.741935483869,-1312.1935483870966,-7553.516129032264,-5592.1612903225805,-7689.322580645161,-12019.258064516129,-10815.09677419355,-5537.258064516123,-4038.935483870955,-9976.32258064516,-10953.387096774191,-14414.354838709678,-11481.483870967742,-17887.387096774193,-17559.967741935518,-22352.41935483871,-24819.645161290293,-26909.7741935484,-31639.29032258064,-30752.3870967742,85,8,10438,1179,860,1478,2516,1776,841,439,1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanda_Todd,44,31017,68,43316,-587.2580645161286,-1358.709677419356,-2085.0,-12.806451612903205,-51.06451612903234,-2639.6774193548385,-2004.0,-2107.096774193545,-1984.193548387106,-3259.516129032258,-3930.741935483871,-3039.4193548387098,-4363.741935483876,-5787.548387096774,-5488.677419354824,-4898.225806451613,-7556.419354838709,-6897.0,-6249.903225806446,-7733.258064516156,-8050.0,-8703.483870967742,-7779.387096774193,-8837.838709677419,-10353.032258064512,-9951.0322580645,-10530.0,-13216.16129032258,-12540.0,-12278.548387096776,32,6,5910,1533,789,841,864,1238,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanda_Todd,68,27775,91,76822,-591.0,-4655.0,-4687.903225806452,-9229.612903225809,-11418.709677419354,-12827.451612903224,-13332.548387096776,-13943.741935483871,-13813.709677419354,-15266.354838709678,-17927.16129032258,-20215.612903225807,-19636.35483870967,-23908.3870967742,-23192.419354838705,-27018.67741935485,-26740.03225806451,-28776.35483870968,-30595.0,-32390.83870967742,-33534.06451612905,-35981.32258064516,-36405.25806451613,-36937.22580645161,-41877.54838709677,-40848.16129032258,-45345.677419354855,-45111.29032258064,-47460.51612903226,-49281.0,57,5,6804,211,1462,2337,1661,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American_Sniper,39,12223,41,8343,-25.61290322580645,-535.2903225806452,-458.6774193548387,-900.6129032258065,-520.0645161290322,-759.0322580645159,-1028.3225806451617,-545.9032258064516,-884.3548387096771,-921.5806451612896,-552.741935483871,-1002.8387096774192,-1058.741935483871,-512.5806451612902,-551.5483870967741,-1093.451612903226,4130.580645161291,4119.096774193548,3770.83870967742,4283.741935483871,3934.774193548388,3957.225806451613,4365.903225806452,3910.3225806451615,4041.451612903226,4170.064516129032,3700.6129032258063,3939.7096774193583,3929.838709677421,3509.903225806452,38,6,6232,539,848,2106,486,1175,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American_Sniper,38,26060,224,57665,-180.0,-284.51612903225805,-1831.3870967741937,5695.709677419354,16650.645161290322,15242.0,17460.22580645161,18890.0,16670.0,15436.0,13991.58064516129,11805.451612903224,10537.0,7226.193548387097,3912.064516129032,-476.61290322580953,-2844.0,-6184.0,-9929.225806451605,-14204.999999999996,-18441.0,-20861.0,-23146.967741935485,-26517.0,-29905.225806451614,-30262.0,-30497.483870967742,-30825.225806451614,-31111.0,-31352.74193548387,9,1,3792,3792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American_Sniper,82,166756,95,40393,-87.64516129032259,-1053.0,-1411.0,-1529.3225806451612,-2901.0,-3956.935483870967,-3576.612903225804,-4824.645161290323,-6498.806451612903,-5944.451612903225,-5154.387096774193,-6502.967741935484,-8085.387096774194,-7505.032258064516,50971.29032258064,70638.16129032258,78771.61290322577,97009.99999999996,126083.41935483873,129741.29032258064,128914.25806451612,129433.80645161292,128116.64516129032,128790.12903225806,128624.90322580644,127625.2258064516,127797.58064516127,128254.74193548386,126868.16129032258,125960.64516129032,53,6,10256,205,3135,2490,879,1637,1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American_Sniper,91,100377,81,47586,-2598.064516129032,-3586.7741935483864,-5603.548387096776,-3386.8709677419374,-4265.5161290322585,-5029.354838709677,-4528.322580645161,-7219.580645161288,-8199.90322580646,-6958.129032258064,-9395.483870967742,-8665.451612903238,-9536.741935483871,-11125.16129032258,-11486.000000000004,-11974.419354838716,-10976.354838709678,21494.74193548387,18847.58064516129,19480.483870967742,17949.032258064515,17500.032258064515,17688.258064516132,14867.580645161292,30635.41935483871,54522.54838709684,53760.90322580645,53771.67741935484,53508.8064516129,51954.51612903224,70,6,10141,212,785,1638,3582,2247,1677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
